source,target,weight
TUR,POL,3051617.407
TUR,IDN,218360.80600000004
TUR,MDA,284104.59299999994
TUR,BLR,421956.66900000005
TUR,SVN,1145190.159
TUR,ESP,6203068.775
TUR,OMN,214928.092
TUR,KOR,547511.5780000001
TUR,NLD,3815239.629
TUR,SWE,1404249.037
TUR,KWT,439001.5990000001
TUR,TKM,1012116.157
TUR,CZE,905202.1320000004
TUR,UKR,1335769.4639999997
TUR,CHE,891418.7230000002
TUR,FRA,6574204.997000001
TUR,ITA,8275022.013999997
TUR,MAR,1646283.8660000002
TUR,CYP,1095817.4819999998
TUR,NOR,543589.9370000002
TUR,ALB,386938.0220000002
TUR,ARE,9170000.521
TUR,RUS,2705143.745
TUR,LBY,879560.062
TUR,BRA,351442.53
TUR,FIN,290616.6560000001
TUR,USA,8386808.570999999
TUR,TUN,897028.37
TUR,LTU,300088.80100000004
TUR,BGD,275635.817
TUR,GRC,1469604.0379999997
TUR,MKD,359234.541
TUR,ISL,199284.735
TUR,CHL,249798.89000000007
