country_iso3,inflation_rate,landlocked,gdp_per_capita,area,merchandise_of_gdp,net_barter_of_trade,industry_of_gdp,agriculture_forestry_fishing_of_gdp,gdp_growth,foreign_direct_investment_inflows,langoff_1,gdp_us_dollar,continent,population
PHL,0.6741925368,0,3001.043182,300000,43.5893889,82.16603765,30.48195098,10.99649915,6.348309717,5639155962.0,English,306445871632.0,Asia,102113206.0
PLW,0.9490406437,0,15876.46193,487,55.62336138,96.90590275,6.966255517,2.918015801,7.539069794,34583158.15,English,280457700.0,Pacific,17665.0
PNG,5.995957781,0,2679.346579,462840,50.65474813,168.7125148,34.805415,17.45693017,6.578356406,213710099.4,English,21723531182.0,Pacific,8107772.0
POL,-0.8741258741,0,12578.49547,312685,82.79345713,100.1040102,30.12683276,2.374644109,4.236326306,15065000000.0,Polish,477811911394.0,Europe,37986412.0
PRT,0.4879386239,0,19242.36647,92389,61.19041546,95.96141038,19.46438213,2.099443926,1.792046046,1270014233.0,Portuguese,199313894327.0,Europe,10358076.0
PRY,3.129002745,1,5413.776021,406752,51.4976335,127.2500402,34.24949917,9.773175311,3.080374008,480469114.4,Spanish,36164068797.0,America,6688746.0
QAT,1.814077239,0,63039.11263,11437,68.36962432,153.1283796,57.4407932,0.1613183893,4.753345721,1070879121.0,Arabic,161739955578.0,Asia,2565708.0
RUS,15.53440505,0,9313.013625,17075400,39.19658397,138.4996916,29.79405999,3.873104487,-1.972719226,6852970000.0,Russian,1363481063447.0,Asia,144096870.0
RWA,2.528502842,1,751.0773926,26338,35.88221824,173.232393,17.43100117,23.9937393,8.856844355,162083821.0,French,8545441361.0,Africa,11369066.0
SAU,1.206073222,0,20627.92693,2153168,57.80886425,91.45958044,45.27245138,2.6193879,4.106408869,8141026667.0,Arabic,654269902889.0,Asia,31717676.0
SEN,0.1352119336,0,1219.249415,196722,46.1721955,108.6438901,23.58666432,14.28257673,6.367043651,409166125.8,French,17774766636.0,Africa,14578450.0
SGP,-0.5226181671,0,55646.61875,646,210.6056065,87.62251704,24.28842438,0.0326135138,2.988520676,69774553125.0,English,308004146058.0,Asia,5535002.0
SLE,6.693679279,0,588.2288628,73326,48.4032627,47.89253252,4.555925675,58.6518937,-20.59877072,252435829.4,English,4218723875.0,Africa,7171909.0
SLV,-0.7313844874,0,3705.579704,21041,67.419738,94.58358485,25.28897221,5.529809405,2.395028298,494541718.1,Spanish,23438240000.0,America,6325121.0
STP,5.250170864,0,1584.775657,964,48.40759999,137.2742209,15.31847367,11.94616949,3.911339748,27924059.14,Portuguese,316065369.9,Africa,199439.0
SUR,6.893903592,0,9168.237157,163820,71.78678847,126.6820613,27.25663717,10.40822152,-3.411095864,183665852.7,Dutch,4787367928.0,America,559136.0
SVK,-0.3252197774,1,16310.98841,49036,167.2737532,92.35860409,30.51119375,2.623777003,4.81489967,1520387926.0,Slovak,88467555244.0,Europe,5423801.0
SVN,-0.5255522858,0,20881.76693,20256,143.2902101,95.95970196,28.02676657,2.096596213,2.210081607,1730147099.0,Slovenian,43090173395.0,Europe,2063531.0
SWE,-0.04678474498,0,51545.48361,449964,55.12154339,92.4138947,22.15807176,1.449558382,4.489281588,10254328595.0,Swedish,505103781350.0,Europe,9799186.0
SWZ,4.951244937,1,3679.819798,17364,79.35685718,110.2425604,35.75730076,9.355657868,2.203324126,31498094.37,Swati,4062999999.0,Africa,1104038.0
SYC,4.041944107,0,14745.34146,455,102.069332,81.82294942,11.8221643,2.045977369,4.937385619,105893597.2,English,1377495054.0,Africa,93419.0
TCD,4.377126651,1,776.0197523,1284005,55.94320164,126.1108235,13.65213457,50.3955823,2.767675685,559642022.5,French,10950392220.0,Africa,14110971.0
TGO,2.58390527,0,570.9099672,56785,80.05518135,115.1750732,15.59274967,24.37400299,5.742868453,257860036.5,French,4180866177.0,Africa,7323162.0
THA,-0.9004249633,0,5840.053067,513115,103.9039875,102.1271742,36.17917733,8.872723648,3.133896962,8927579182.0,Thai,401295941041.0,Asia,68714519.0
TJK,5.714559496,1,978.4049812,143095,52.31244522,82.85400626,30.2202135,21.59057472,6.008287872,454012320.0,Tajik,7854602392.0,Asia,8454019.0
TKM,7.41,1,6432.685325,488100,47.4864125,172.7565323,54.29333035,9.306538759,6.49999991,3042968000.0,Turkmen,35799714286.0,Asia,5565283.0
TON,-1.05399832,0,4336.239603,748,51.9443399,113.6042878,15.49235067,16.8686027,1.171888256,6349155.28,Tongan,437006227.2,Pacific,100780.0
TTO,4.661215981,0,18214.46062,5130,80.05253796,138.8331324,39.13317712,1.054221977,1.823184697,176829744.9,English,25062893969.0,America,1370332.0
TUN,4.437371273,0,3861.6924,164150,79.43292698,104.2863638,24.98307931,10.28270429,1.194541753,970521888.7,Arabic,43173480832.0,Africa,11179951.0
TUR,7.670853648,0,11006.27952,780576,42.18372878,98.25700289,27.83434929,6.868375345,6.0844869,19263000000.0,Turkish,864314287106.0,Europe,78529413.0
TZA,5.58816953,0,947.9333517,945090,32.97480365,158.1840025,24.48735011,26.74588573,6.160628774,1506024896.0,English,47378599025.0,Africa,51482638.0
UGA,5.410004196,1,843.6295453,241038,24.17195437,117.5015338,26.3940037,23.63931779,5.187859863,737652140.2,English,32248116584.0,Africa,38225447.0
UKR,48.69986464,0,2124.662319,603677,83.09700398,83.58724924,21.72795774,12.05937611,-9.772960791,-369000000.0,Ukrainian,91030959455.0,Europe,45154036.0
URY,8.666269871,0,15613.74597,176215,32.24256093,117.3336141,25.44175806,6.131441946,0.3707412563,2673041339.0,Spanish,53274304222.0,America,3412013.0
USA,0.1186271356,0,56863.3715,9529106,20.93327164,100.0,18.54450775,1.043866452,2.908021861,511434000000.0,English,18224704440000.0,America,320738994.0
UZB,8.5,1,2615.025134,447400,25.54020946,153.0548751,23.71705603,30.7733232,7.447705075,1041199291.0,Uzbek,81847410182.0,Asia,31298900.0
VCT,-1.73361195,0,6921.702479,389,50.30447445,107.8033297,15.40905481,6.237068416,1.330275498,119385964.3,English,755400000.0,America,109135.0
VNM,0.6312009052,0,2085.101349,331114,169.5679569,131.4520467,33.25008073,16.992212,6.679288789,11800000000.0,Vietnamese,193241108710.0,Asia,92677082.0
WSM,0.7244701349,0,4073.729164,2842,54.54725376,83.39402557,17.51408917,8.710140864,4.272188528,26867532.32,Samoan,788307330.6,Pacific,193510.0
YEM,22.0,0,1601.830063,547244,19.98817183,139.2722532,36.36740441,7.104681636,-27.99443852,-15444808.35,Arabic,42450620876.0,Asia,26497881.0
ZAF,4.509208278,0,5734.633422,1219912,58.45119779,140.0047719,26.02837513,2.088751184,1.193732801,1521139945.0,English,317620522795.0,Africa,55386369.0
ZMB,10.11059289,1,1338.290927,752614,68.42902285,162.308376,33.65724912,4.980836564,2.920375112,1582666667.0,English,21243339048.0,Africa,15879370.0
ZWE,-2.430968424,1,1445.069702,390759,46.59091224,110.516422,22.3583917,8.284246903,1.779872703,399200000.0,English,19963120600.0,Africa,13814642.0
